scRNA_guide_name,count_D0_original,count_D0_repA,count_D0_repB,count_D7_original,scRNA_count,count_D0_mean,is_NC,target_gene,category_D7,category_scRNA
AKNA_+_117150267.23-P1-2,25.673338311515888,67.8380736491874,75.65495749588837,57.72830224031995,92.12716667150924,71.74651557253787,False,AKNA,none,none
AKNA_+_117160706.23-P2-1,253.7992873081285,105.67084549200347,113.2414968887501,163.28862633690503,160.8682064187123,109.45617119037678,False,AKNA,none,none
AKNA_+_117160706.23-P2-2,18.338098793939917,88.7113270797066,92.76165170674211,57.72830224031995,169.37225257300548,90.73648939322436,False,AKNA,none,none
AKNA_-_117160725.23-P2-1,36.676197587879834,105.67084549200347,149.38240015111717,108.85908422460334,173.62427565015204,127.52662282156032,False,AKNA,none,none
AKNA_-_117160725.23-P2-2,99.02573348727556,66.53349530977995,53.00665811813835,47.8320218562651,105.59190641580675,59.77007671395915,False,AKNA,none,none
AKNA_+_117160732.23-P2-1,14.670479035151935,16.95951841229685,7.228180652473411,24.740700960137122,11.338728205724214,12.09384953238513,False,AKNA,none,none
AKNA_+_117160732.23-P2-2,0.0,0.0,0.0,0.0,0.0,0.0,False,AKNA,none,none
ALX1_+_85673995.23-P1P2-1,95.35811372848758,17.220434080178343,25.298632283656936,39.5851215362194,51.02427692575897,21.25953318191764,False,ALX1,none,none
ALX1_+_85673995.23-P1P2-2,99.02573348727556,73.0563870068172,9.637574203297882,34.636981344191966,42.520230771465805,41.346980605057546,False,ALX1,none,none
ALX1_+_85674007.23-P1P2-1,44.011437105455805,80.8838570432619,49.39256779190164,100.61218390455763,84.33179103007386,65.13821241758177,False,ALX1,none,none
ALX1_+_85674007.23-P1P2-2,7.3352395175759675,14.35036173348195,26.503329059069173,3.298760128018283,39.68554872003475,20.42684539627556,False,ALX1,deplete,none
ALX1_-_85674035.23-P1P2-1,0.0,35.22361516400115,28.912722609893645,39.5851215362194,67.32369872148752,32.0681688869474,False,ALX1,none,none
ALX1_-_85674035.23-P1P2-2,80.68763469333564,50.878555236890556,46.98317424107717,47.8320218562651,65.19768718291424,48.930864738983864,False,ALX1,none,none
ALX3_+_110613176.23-P1P2-1,157.70764962788328,114.8028938678556,119.26498076581129,137.2284213255606,107.00924744152229,117.03393731683344,False,ALX3,none,none
ALX3_+_110613176.23-P1P2-2,0.0,0.0,2.4093935508244706,0.0,0.0,1.2046967754122353,False,ALX3,none,none
ALX3_-_110613186.23-P1P2-1,84.35525445212363,84.79759206148425,90.35225815591764,34.636981344191966,110.5526000058111,87.57492510870094,False,ALX3,none,none
ALX3_-_110613186.23-P1P2-2,183.38098793939918,187.07653387102835,178.2951227610108,181.43180704100558,343.70519873601523,182.68582831601958,False,ALX3,none,none
ALX3_-_110613262.23-P1P2-1,168.71050890424726,136.98072563778226,193.95618084136987,196.27622761708784,260.0820782187992,165.46845323957606,False,ALX3,none,none
ALX3_-_110613262.23-P1P2-2,106.36097300485153,31.309880145778802,21.684541957420233,4.948140192027425,24.803467950021723,26.497211051599518,False,ALX3,deplete,none
ALX4_+_44331527.23-P1P2-1,47.67905686424379,43.051085200445854,57.82544521978729,90.71590352050279,48.189594874327916,50.43826521011657,False,ALX4,none,none
ALX4_+_44331527.23-P1P2-2,33.008577829091855,97.06062845191428,61.439535546024,44.53326172824682,41.81156025860805,79.25008199896914,False,ALX4,none,none
ALX4_-_44331556.23-P1P2-1,102.69335324606355,80.8838570432619,114.44619366416234,67.6245826243748,102.7572243643757,97.66502535371211,False,ALX4,none,none
ALX4_-_44331556.23-P1P2-2,0.0,52.183133576298005,60.23483877061176,49.481401920274244,110.5526000058111,56.20898617345488,False,ALX4,none,none
ALX4_-_44331565.23-P1P2-1,0.0,44.3556635398533,26.503329059069173,21.44194083211884,54.567629490047786,35.429496299461235,False,ALX4,none,none
ALX4_-_44331565.23-P1P2-2,47.67905686424379,54.79229025511291,42.164387139428236,57.72830224031995,41.10288974575028,48.47833869727057,False,ALX4,none,none
ALYREF_+_79849212.23-P1P2-1,3.6676197587879837,39.13735018222351,46.98317424107717,47.8320218562651,0.0,43.06026221165034,False,ALYREF,none,deplete
ALYREF_+_79849212.23-P1P2-2,0.0,11.741205054667052,0.0,1.6493800640091416,0.0,5.870602527333526,False,ALYREF,none,none
ALYREF_+_79849261.23-P1P2-1,58.68191614060774,33.9190368245937,24.093935508244705,39.5851215362194,49.606935900043446,29.0064861664192,False,ALYREF,none,none
ALYREF_+_79849261.23-P1P2-2,40.34381734666782,49.5739768974831,18.070451631183527,16.493800640091415,40.39421923289252,33.82221426433331,False,ALYREF,none,none
ALYREF_-_79849458.23-P1P2-1,69.68477541697169,33.9190368245937,19.275148406595765,29.688841152164546,4.252023077146581,26.597092615594732,False,ALYREF,none,deplete
ALYREF_-_79849458.23-P1P2-2,0.0,3.9137350182223503,15.661058080359055,0.0,0.0,9.787396549290703,False,ALYREF,none,none
ANHX_+_133812067.23-P1P2-1,58.68191614060774,70.4472303280023,65.05362587226071,61.027062368338235,56.69364102862107,67.7504281001315,False,ANHX,none,none
ANHX_+_133812067.23-P1P2-2,0.0,24.78698844874155,39.75499358860376,54.42954211230167,75.11907436292292,32.27099101867265,False,ANHX,none,none
ANHX_+_133812211.23-P1P2-1,330.0857782909185,52.183133576298005,84.32877427885647,61.027062368338235,0.0,68.25595392757724,False,ANHX,none,deplete
ANHX_+_133812211.23-P1P2-2,36.676197587879834,78.27470036444701,104.80861946086446,77.52086300842966,0.0,91.54165991265575,False,ANHX,none,deplete
ANHX_+_133812391.23-P1P2-1,40.34381734666782,95.23421877674386,71.07710974932188,31.338221216173686,0.0,83.15566426303286,False,ANHX,none,deplete
ANHX_+_133812391.23-P1P2-2,22.7392425044855,127.84867726193012,138.54012917240706,150.09358582483188,162.9942179572856,133.1944032171686,False,ANHX,none,none
ANKRD1_+_92680756.23-P1P2-1,88.02287421091161,86.10217040089171,61.439535546024,59.37768230432909,86.45780256864714,73.77085297345785,False,ANKRD1,none,none
ANKRD1_+_92680756.23-P1P2-2,0.0,69.14265198859485,53.00665811813835,52.78016204829253,121.89132821153532,61.0746550533666,False,ANKRD1,none,none
ANKRD1_+_92680777.23-P1P2-1,113.69621252242749,30.005301806371353,62.64423232143622,42.88388166423768,71.5757217986341,46.324767063903785,False,ANKRD1,none,none
ANKRD1_+_92680777.23-P1P2-2,51.346676623031776,71.75180866740975,51.801961342726116,74.22210288041137,24.803467950021723,61.77688500506793,False,ANKRD1,none,none
ANKRD1_+_92680828.23-P1P2-1,47.67905686424379,65.22891697037251,137.33543239699483,140.19730544077703,99.21387180008689,101.28217468368368,False,ANKRD1,none,none
