,index,expression_mean,expression_median,target_gene,expression_mean_norm,expression_mean_log10
319,Element402,34.578663,0.0,HMG20A,0.8150179,1.5388083
320,Element403,41.35523,0.0,HMG20A,0.9747413,1.6165305
321,Element404,39.15116,0.0,HMG20A,0.92279154,1.5927447
322,Element405,40.341545,0.0,HMG20A,0.9508488,1.6057526
323,Element406,40.15324,0.0,HMG20A,0.9464105,1.6037207
324,Element407,38.80573,0.0,HMG20A,0.91464967,1.5888959
325,OR10H2,48.022476,0.0,HMG20A,1.1318882,1.6814445
326,OR10K1,43.830116,0.0,HMG20A,1.0330744,1.6417727
327,OR10V1,42.554,0.0,HMG20A,1.0029963,1.6289405
328,OR14J1,44.226856,0.0,HMG20A,1.0424255,1.6456861
329,OR2A2,45.845684,0.0,HMG20A,1.0805812,1.6612985
330,HMG20A_P1P2,10.625277,0.0,HMG20A,0.2504374,1.0263402
331,non-targeting,49.863438,0.0,HOXB4,1.0,1.6977823
332,Element614,50.479576,0.0,HOXB4,1.0123565,1.7031157
333,Element615,38.74944,0.0,HOXB4,0.7771113,1.5882655
334,Element616,23.253052,0.0,HOXB4,0.4663347,1.36648
335,Element617,63.14051,0.0,HOXB4,1.2662687,1.8003081
336,Element618,43.061035,0.0,HOXB4,0.86357933,1.6340846
337,Element619,58.86164,0.0,HOXB4,1.180457,1.7698324
338,Element620,57.893406,0.0,HOXB4,1.1610392,1.7626292
339,Element621,47.5091,0.0,HOXB4,0.9527843,1.6767769
340,Element622,11.464712,0.0,HOXB4,0.22992222,1.0593631
341,OR10H2,48.642376,0.0,HOXB4,0.9755119,1.6870148
342,OR10K1,60.311337,0.0,HOXB4,1.2095302,1.780399
343,OR10V1,41.400726,0.0,HOXB4,0.8302822,1.6170081
344,OR14J1,41.671566,0.0,HOXB4,0.83571386,1.6198399
345,OR2A2,42.13877,0.0,HOXB4,0.84508353,1.624682
346,HOXB4_P1P2,7.9360023,0.0,HOXB4,0.15915474,0.8996018
347,non-targeting,0.12155037,0.0,IKZF1,1.0,-0.91524374
348,Element1130,0.09580867,0.0,IKZF1,0.78822196,-1.0185952
