,promoter,enhancer,edist,pro_enh_dist,promoter_nontarget_pval,enhancer_nontarget_pval,promoter_nontarget_edist,enhancer_nontarget_edist,total_cell_num,edist_norm,target_name,expression_category,expression_level,expression_level_norm,is_NT
74,CHAMP1_P1P2,OR10H2,25.0885009765625,-1,5.0,-1.0,20.529302978515624,-1.0,2493,1.22208245466581,ACVR2B,normal,76.72568,0.9816495,True
75,CHAMP1_P1P2,OR10K1,25.416015625,-1,5.0,-1.0,20.529302978515624,-1.0,2327,1.238035974801406,ACVR2B,normal,79.90196,1.0222877,True
76,CHAMP1_P1P2,OR10V1,26.233154296875,-1,5.0,-1.0,20.529302978515624,-1.0,2260,1.2778395021169782,ACVR2B,normal,80.799446,1.0337704,True
77,CHAMP1_P1P2,OR14J1,23.0416259765625,-1,5.0,-1.0,20.529302978515624,-1.0,2468,1.1223774134307472,ACVR2B,normal,66.79433,0.85458505,True
78,CHAMP1_P1P2,OR2A2,25.7529296875,-1,5.0,-1.0,20.529302978515624,-1.0,2528,1.254447348477979,ACVR2B,normal,85.51017,1.0940408,True
79,CHD7_P1P2,Element1201,9.764404296875,102587,5.0,0.4885712156837745,14.960113525390623,1.750830078125,4775,0.6526958689386043,CHD7,normal,136.1015,1.0141647,False
80,CHD7_P1P2,Element1202,30.685546875,101939,5.0,2.636388020107856,14.960113525390623,7.074041748046875,3802,2.0511573540481387,CHD7,normal,149.46335,1.1137309,False
81,CHD7_P1P2,Element1203,18.7220458984375,26582,5.0,0.4413994166574316,14.960113525390623,1.306573486328125,5822,1.2514641594572158,CHD7,normal,135.74745,1.0115265,False
82,CHD7_P1P2,Element1204,8.8714599609375,73,5.0,0.743137994103597,14.960113525390623,1.5396728515625,9296,0.5930075293800858,CHD7,normal,130.79182,0.9745995,False
83,CHD7_P1P2,Element1205,7.9501953125,21036,5.0,1.0874591172093626,14.960113525390623,2.713653564453125,4740,0.531426135169814,CHD7,normal,143.16212,1.0667771,False
84,CHD7_P1P2,Element1206,10.17236328125,28579,5.0,1.38132446111486,14.960113525390623,2.75679931640625,5434,0.6799656475858454,CHD7,normal,138.844,1.0346005,False
85,CHD7_P1P2,Element1207,11.4798583984375,29108,5.0,0.8861902973270549,14.960113525390623,2.202557373046875,4863,0.7673643905812372,CHD7,normal,127.927635,0.95325685,False
86,CHD7_P1P2,Element1208,16.5357666015625,11167,5.0,0.5219965764018628,14.960113525390623,1.5848876953125,4875,1.105323604229182,CHD7,normal,133.259,0.9929837,False
87,CHD7_P1P2,Element1209,17.7344970703125,18193,5.0,0.368444627587096,14.960113525390623,1.603265380859375,4397,1.1854520381956417,CHD7,normal,126.131165,0.9398704,False
88,CHD7_P1P2,Element1210,15.423828125,33253,5.0,0.5520516518145703,14.960113525390623,1.720196533203125,4725,1.0309967299928808,CHD7,normal,132.5475,0.9876819,False
89,CHD7_P1P2,Element1211,18.69970703125,43289,5.0,1.1890286001777923,14.960113525390623,2.591009521484375,4782,1.249970931003462,CHD7,normal,131.46867,0.97964305,False
90,CHD7_P1P2,OR10H2,19.070068359375,-1,5.0,-1.0,14.960113525390623,-1.0,3951,1.2747275164061338,ACVR2B,normal,76.72568,0.9816495,True
91,CHD7_P1P2,OR10K1,18.22216796875,-1,5.0,-1.0,14.960113525390623,-1.0,3785,1.2180501129101025,ACVR2B,normal,79.90196,1.0222877,True
92,CHD7_P1P2,OR10V1,18.1219482421875,-1,5.0,-1.0,14.960113525390623,-1.0,3720,1.2113509841640269,ACVR2B,normal,80.799446,1.0337704,True
93,CHD7_P1P2,OR14J1,20.0645751953125,-1,5.0,-1.0,14.960113525390623,-1.0,3930,1.3412047416123196,ACVR2B,normal,66.79433,0.85458505,True
