,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
HMGCR,4.0,0.07441436616852953,0.3071135878562927,120021.23777672995,0.0004956823891239398,-55.112285612370954,3.915762297473267,1259.410143315566,45041854011.996216,2.7960885956873385e-08
HOXB4,40.0,-0.532412476695672,0.8260474354028702,146434.68361154018,0.00037905787313744134,-46.17013717028196,6.0219387893202345,14182.034653888179,283741154898.4268,4.9982296924691944e-08
HRAS,18.0,0.24382693330517902,0.764926590025425,95261.53869834584,0.0002787136194943532,0.6771051689892807,21.85401919709109,4926.660802310958,87065477791.58629,5.658569765279637e-08
ISL1,29.0,-0.047633275362894106,0.5441865921020508,390385.05145890365,0.0007537205018629846,-82.67834527018915,89.28036344316654,458834.293325875,663128966278.2175,6.919231652646128e-07
JAG1,25.0,-0.6171287201361855,0.7586496472358704,153724.93234087835,0.0004953640372848036,-68.00669486261614,4.087646438143557,10114.797020178628,101207693884.49846,9.994098898965099e-08
JAK2,6.0,0.25866169276902806,0.38702258467674255,87446.91128227502,0.0003697021294315072,-23.537742956964077,7.089431058735441,2354.9303099543818,29113877297.87785,8.088686662583537e-08
KAT7,38.0,-0.5777966290518992,0.8787344694137573,102901.68238053216,0.00043314628563178507,-35.25039910130818,5.173426316953014,5930.675923586624,88832271434.33113,6.676262835371547e-08
KDM5B,23.0,-0.3200711738426179,0.7478167116641998,173860.90913480637,0.00038550625292657864,-37.2873568492602,15.972974757871663,16721.792021718524,134736520049.32993,1.2410734680987988e-07
KLF12,21.0,-0.25319965824287294,0.6392002403736115,73406.78040906788,0.00042473357522307523,-20.328830378226396,5.622347330632756,4505.738960730699,24092246681.89485,1.8702028998054086e-07
L3MBTL3,21.0,-0.1729976460495822,0.6650906577706337,120626.94421748792,0.0003310802419619368,-22.437247869628028,10.098910352313807,5546.282759852193,90383061889.26013,6.136418311041127e-08
LEF1,48.0,-0.5355428507980252,0.7198272496461868,209678.33631033127,0.0003413856154449123,-66.68320497460574,1.8015589862793313,15450.084250947959,194021135146.25366,7.963093422426193e-08
LZTR1,45.0,-0.3602494240741948,0.8917653560638428,3.0522625303730906,2.837775594581375,-26.51890733873035,4.533314976537332,14231.401441239392,30473.72173580496,0.46700568984057733
LZTS1,55.0,-0.2344807244673543,0.8898152112960815,14.435398516977134,1.020328567870539,-17.207605697912875,4.5619493484350535,19534.57279381718,53435.147618708506,0.36557535001508656
MAP2K2,4.0,-0.7819905403819247,0.2697022259235382,2.410740449045203,2.5521942077677635,-24.567548486021863,-1.8449223360667655,118.19717180012357,1489.695680681992,0.079343166079405
MAPK1,5.0,0.2518755932614213,0.4104513078927994,89460.45474470122,0.0003391976329623217,-24.399989696203296,4.443222216840436,341.0647692971901,21596461402.015812,1.5792622825948474e-08
MBD6,71.0,-0.10622266809506678,0.7739144340157509,217593.7773776988,0.00020831735650478315,-12.590534688616982,14.266635848749317,26056.523454296857,497408899575.20825,5.238451398145342e-08
MEF2A,20.0,-0.40888747318004176,0.8006616085767746,142124.87765811765,0.00041514836098649965,-38.98128018199509,11.102566848544976,11460.716078290065,70019965545.81972,1.6367783087225876e-07
MEF2C,39.0,-0.649186291082616,0.8444326780736446,124163.40837108552,0.0003545198749921474,-36.64713095765539,4.827551122821692,7111.295717692121,168686634064.8545,4.2156841631910564e-08
MEF2D,77.0,-0.41111512852153564,0.8815993703901768,133180.21740262574,0.000282959112598895,-26.207392550015253,5.760312192944643,13453.991338477847,247588182963.49707,5.434019983280633e-08
MEIS1,78.0,-0.19714192120011664,0.6965323388576508,130300.29947180988,0.00043993903193137484,-25.59976566730956,11.126705647924567,24879.120975115846,127847701889.17708,1.9459967295057014e-07
MESP1,39.0,0.06647179404145323,0.8108722567558289,108951.74472067592,0.00021784140247277373,0.3210275850049744,18.44724497602169,14111.133392457272,224778913638.9323,6.277783429065023e-08
MTF2,26.0,-0.7747651841861993,0.7697179317474365,13.942789204322484,1.6171860784066807,-42.622376052002735,-0.15564302787053785,2179.316637809266,22508.917921225493,0.09682014237362387
MYH11,4.0,-0.4408796569267086,0.49393367767333984,7.459115746976648,1.7676234956940666,-38.07470848434787,-2.8040326220145433,2011.9681039551895,7450.6027906228155,0.27004098332653215
MYH6,26.0,0.03910654687661575,0.7851999253034592,63836.586280021766,0.0002462593307973913,-1.8522573927851904,10.576948557847242,3182.1560591405973,51320459379.63852,6.200560356642332e-08
MYL7,39.0,0.09500309926879039,0.817282423377037,42502.786442803415,0.0003940508384770427,1.0097774433655613,13.012094476945345,6065.333600900021,31934023153.848866,1.8993327498007384e-07
MYOCD,49.0,-0.8167588305981373,0.735821008682251,138806.6750479769,0.0004058188448048795,-51.745707583000524,2.395162356207431,4300.411227806054,157835118871.39877,2.7246225419007995e-08
MYRF,200.0,-0.4409869280850639,0.8596302308142185,164722.25892323046,0.00034164705451053735,-41.00337593209906,8.102477134353979,78541.4241601644,1123730721094.7405,6.989345639998986e-08
NIPBL,5.0,-0.9721421846096499,0.3762653172016144,86.38730021789186,0.9681262303704035,-118.99476904989137,-4.8158188167488785,166.0430115429075,33027.6330403174,0.005027396645112774
NKX2-5,28.0,-0.9611759583057777,0.79036545753479,66.20971380882894,1.1897279952187139,-150.3853139582908,-11.003168891991928,5737.4971889154895,409387.323071298,0.014014838431907818
NPHP4,5.0,0.5959389528499849,0.8427184820175171,125764.74205047335,0.00035754790775017976,11.407039515027313,51.63501507565385,18158.095906243703,56410693524.59593,3.2189102405426897e-07
OVOL1,101.0,-0.1544760111820249,0.8905085325241089,10.132227943389909,1.3874395045480146,-30.09944701003324,-0.31457431886119136,290406.5968008724,406422.07626454975,0.7145443462865435
PBX2,52.0,-0.18704145100412065,0.8946704864501953,292263.1557309466,0.00015892100069133457,-16.57255037419333,17.370529335724537,31104.629268567194,966682108973.7252,3.2176688675441937e-08
PCGF2,79.0,-0.10781766438122146,0.7985059916973114,263668.2073900671,0.00017251361204869475,-11.793653856400407,13.943328848556376,26329.502278814303,704290847261.0419,3.7384416368903064e-08
PCGF6,37.0,-0.4421189117735175,0.898709774017334,185805.90617164268,0.0002225889313656834,-23.94974519817009,11.548258203456768,9320.254694120282,379463272877.46136,2.456167792852521e-08
PIGL,6.0,-0.5586752917657247,0.3518885672092438,183.48715333434168,0.3372785418238019,-73.05046933378544,-0.9797172119537965,1181.5417202225271,280103.65003877156,0.004218230358865298
PIN1,16.0,-0.3723776852654638,0.7864064425230026,225930.814423534,0.00026887233436466635,-30.961169930955652,17.941446599702587,8168.110149341595,188100991126.39453,4.342406757364203e-08
