,num_valid_gRNA,pearson_r,expression_range,exp_0,exp_1,lin_0,lin_1,err_exp,err_lin,err_exp/lin
ISL1,9.0,0.3109849914857643,0.7383332931780674,1271411.413368727,0.00023219695629852065,17.28621821966368,165.06231783963335,249411.10572332682,3200880432400.6133,7.791953213830989e-08
JUN,5.0,0.7540664583371113,0.21541783058566052,84552.90461366138,0.0004842305477730602,-31.020739844849256,8.777461462423831,3016.7166101673033,27697252334.406647,1.0891754076341414e-07
KCNIP3,5.0,-0.6506976403612791,0.8629024099808502,6.876562298112587,2.129863090650702,-38.897983616063584,2.9941372775918658,848.5219471095872,4662.5441962551995,0.18198689629389292
KDM5B,6.0,-0.4674856492986432,0.40112912273720264,0.017504022719170207,8.304540037227023,-30.700293091194663,-3.158332129070536,750.2482491159291,2346.68827939282,0.319705116228751
KDM5C,6.0,0.7796316169179149,0.2959732194214224,93020.41246736265,0.0003269192284066775,-22.765455118739066,6.953828144104378,883.0891781170311,42327352507.97504,2.0863321842551937e-08
KLF10,4.0,0.2876930494468438,0.7384289818747268,143308.90147762978,0.00018164538842505842,-10.718449204968787,10.701767603632593,672.0717659884397,31765905506.01203,2.115701584081219e-08
KLF12,5.0,-0.849125767307302,0.323667756109924,0.07621495930617428,7.66285875806836,-50.545887184879206,-8.70561587111554,180.14111267378834,3603.5680506617523,0.04998965196195131
KMT2A,4.0,0.5565341469573343,0.5476402494272797,690960.2439238305,0.00022791681890493073,-103.9349632454278,42.73189551904467,13316.165756739534,1129728564643.505,1.1787048830567155e-08
LEF1,9.0,-0.7035488399870807,0.9026535821686585,19.40356532995807,1.5462949177803278,-52.28385952257231,5.274984191808402,2475.1820188951892,15728.035245853456,0.15737388556194562
LHX2,4.0,0.3305673646375493,0.2577200403197603,130859.64870573231,0.00033581683007437356,-40.32417949971447,3.3606345915049918,543.9922535207992,58044283941.241356,9.372021094643641e-09
LZTR1,4.0,-0.5259881237241063,0.242244340929264,3.170602377429913,3.0630749700464808,-64.49449555657047,-3.850256900013127,2475.6692320803804,15879.427377791922,0.1559041880529466
MAFB,4.0,0.4118495840028493,0.2055936725365428,51302.60370170995,0.00034878386870748184,-15.849229330987747,1.959377332110891,401.7973184324557,9563519853.71495,4.201353942673915e-08
MAP3K7,6.0,-0.3978146155686699,0.49050496146726824,1.3719192403411804,3.57055322540891,-39.492670389972105,-4.096581690254552,2833.5312651914323,7236.043404252185,0.3915857198322411
MAPK8IP1,4.0,0.8779616827616449,0.8098675311843312,70675.24497189888,0.00031099458692303154,20.05100798852045,36.497091118732286,5948.939138112949,10381509069.386356,5.730322151001681e-07
MBD6,5.0,-0.05793022243329951,0.22903540919830234,46911.80540628093,0.00039055348456614266,-17.289473311001398,0.8838962014879718,107.14866314512985,7911124677.559751,1.35440493624202e-08
