,gRNA_name,expression,relative_expression,edist,cell_num,target_gene
666,PLAGL1_+_144385655.23-P2-2,44.15361246058168,1.404659760936283,8.3890380859375,149,PLAGL1
667,PLAGL1_+_144385691.23-P2-1,39.120385364226216,1.2445376061246822,2.8621826171875,335,PLAGL1
668,PLAGL1_+_144385691.23-P2-2,43.69645533878489,1.3901162122292168,5.2867431640625,282,PLAGL1
669,PLAGL1_-_144329304.23-P1-1,2.634663528138862,0.08381660379175064,38.167236328125,103,PLAGL1
670,PLAGL1_-_144329304.23-P1-2,2.755366971113664,0.08765654484990382,41.0311279296875,170,PLAGL1
671,non-targeting,28.217286062499625,1.0,0.0,20000,PLAGL2
672,PLAGL2_+_30795496.23-P1P2-1,5.7973682652862575,0.20545449524966464,22.8642578125,132,PLAGL2
673,PLAGL2_+_30795496.23-P1P2-2,6.3339875361051154,0.22447189010579213,27.4825439453125,427,PLAGL2
674,PLAGL2_+_30795506.23-P1P2-1,3.1614649586254537,0.11204000808663864,22.6400146484375,611,PLAGL2
675,PLAGL2_+_30795506.23-P1P2-2,12.507418641585042,0.44325377762701373,52.1690673828125,87,PLAGL2
676,PLAGL2_-_30795162.23-P1P2-2,13.808327250529167,0.4893570281686388,23.8082275390625,86,PLAGL2
677,non-targeting,87.23065190370107,1.0,0.0,20000,PPP1R13L
678,PPP1R13L_+_45908182.23-P1-2,8.262277100211344,0.09471758974508808,17.248046875,78,PPP1R13L
679,PPP1R13L_+_45908277.23-P1-1,6.071095870821644,0.06959819442280307,12.0784912109375,302,PPP1R13L
680,PPP1R13L_+_45908277.23-P1-2,7.741089544392058,0.08874276845870523,24.6199951171875,175,PPP1R13L
681,PPP1R13L_+_45909356.23-P2-1,52.71452240170523,0.604311916181709,28.4747314453125,48,PPP1R13L
682,PPP1R13L_-_45908264.23-P1-1,4.856532761936471,0.05567461271867917,11.50341796875,132,PPP1R13L
683,non-targeting,56.174378906689526,1.0,0.0,20000,PURA
684,PURA_+_139487386.23-P1-1,59.615585113143815,1.061259354770445,34.026611328125,70,PURA
685,PURA_+_139487386.23-P1-2,22.224766732332238,0.3956388511077174,50.404052734375,47,PURA
686,PURA_+_139494085.23-P2-1,28.90770314905317,0.5146065468221972,37.327392578125,94,PURA
687,PURA_+_139494085.23-P2-2,24.679794053857524,0.4393425354084072,51.8270263671875,75,PURA
688,PURA_-_139487652.23-P1-1,77.18011183897033,1.3739379649781822,28.0325927734375,70,PURA
689,PURA_-_139487652.23-P1-2,55.44923817292236,0.9870912549834918,11.01611328125,196,PURA
690,PURA_-_139493769.23-P2-2,19.239187323754386,0.3424904324391789,7.767822265625,140,PURA
691,PURA_-_139493785.23-P2-1,13.081444800870182,0.2328720860910556,23.6895751953125,72,PURA
692,non-targeting,29.20547456942586,1.0,0.0,20000,RARA
693,RARA_+_38474523.23-P1-1,34.91661687477086,1.1955504024346102,18.1446533203125,117,RARA
694,RARA_+_38474523.23-P1-2,32.79808557351903,1.123011560574131,7.7454833984375,429,RARA
695,RARA_+_38474580.23-P1-1,19.21141579601994,0.6578018703428865,23.3724365234375,279,RARA
696,RARA_+_38474580.23-P1-2,27.936064956210007,0.9565352170464386,23.50830078125,205,RARA
697,RARA_+_38474729.23-P1-2,23.386318847551046,0.8007512013529589,51.0863037109375,133,RARA
698,RARA_+_38498660.23-P2-1,40.330518735572696,1.380923245732608,16.6234130859375,125,RARA
699,RARA_+_38498660.23-P2-2,31.358887941611034,1.0737332094044965,53.3555908203125,54,RARA
700,RARA_+_38498675.23-P2-1,27.217272750175233,0.9319236599109401,8.5517578125,178,RARA
701,RARA_-_38498690.23-P2-1,32.11550076095456,1.0996397502328246,38.8353271484375,81,RARA
702,RARA_-_38498690.23-P2-2,35.181911018270064,1.204634115245664,6.1656494140625,254,RARA
703,non-targeting,5.971824248626945,1.0,0.0,20000,RARG
704,RARG_+_53614095.23-P1-1,1.586878538508861,0.265727602227028,40.9647216796875,121,RARG
705,RARG_+_53614095.23-P1-2,8.063049542463638,1.3501819890827351,19.197265625,44,RARG
706,RARG_+_53625742.23-P2-1,1.4630278346358219,0.24498842794514666,3.90185546875,138,RARG
707,RARG_+_53625848.23-P2-1,0.0,0.0,54.5654296875,37,RARG
708,RARG_-_53614091.23-P1-1,2.0663889738219514,0.3460230723127963,34.1680908203125,142,RARG
709,RARG_-_53614091.23-P1-2,0.0,0.0,17.0604248046875,70,RARG
710,RARG_-_53625726.23-P2-1,4.267031762634493,0.7145273512721977,6.506591796875,358,RARG
711,RARG_-_53625726.23-P2-2,13.007114793421055,2.1780806420101326,18.0006103515625,49,RARG
712,non-targeting,53.019187862446415,1.0,0.0,20000,RB1
713,RB1_+_48878000.23-P1P2-1,15.199647930599236,0.28668202104553875,252.9520263671875,254,RB1
714,RB1_+_48878000.23-P1P2-2,0.854183917155088,0.01611084499014192,22.21728515625,181,RB1
715,RB1_+_48878033.23-P1P2-1,11.601285462141934,0.21881296055006427,49.5220947265625,137,RB1
716,RB1_+_48878033.23-P1P2-2,17.05647463070653,0.3217038079677501,13.27685546875,259,RB1
717,non-targeting,101.33346925103979,1.0,0.0,20000,RB1CC1
718,RB1CC1_+_53568634.23-P2-1,115.48705833392734,1.1396733891329032,9.569091796875,119,RB1CC1
719,RB1CC1_+_53568730.23-P2-1,91.5619087266881,0.9035702557449802,13.1903076171875,173,RB1CC1
720,RB1CC1_+_53569026.23-P2-1,79.39708597231878,0.7835228237930291,13.2890625,84,RB1CC1
721,RB1CC1_+_53569026.23-P2-2,101.65016768344988,1.0031253092857753,9.424560546875,93,RB1CC1
722,RB1CC1_+_53626966.23-P1-2,91.73439631248348,0.9052724335848414,23.279296875,143,RB1CC1
723,RB1CC1_-_53626953.23-P1-1,3.1342162833650513,0.030929724468432635,38.3990478515625,101,RB1CC1
724,non-targeting,38.8343502778298,1.0,0.0,20000,RBL2
725,RBL2_+_53468428.23-P1-1,4.909913139486247,0.1264322205562758,11.9412841796875,136,RBL2
726,RBL2_+_53468428.23-P1-2,5.043590905958669,0.12987447633025065,24.1983642578125,222,RBL2
727,RBL2_+_53468434.23-P1-1,3.3410282200051156,0.0860328084827643,13.383544921875,308,RBL2
728,RBL2_+_53468434.23-P1-2,1.6547795583880165,0.042611233265120854,21.2762451171875,164,RBL2
729,RBL2_+_53468454.23-P1-1,11.110203739188544,0.28609217508992973,33.6865234375,111,RBL2
730,RBL2_+_53468454.23-P1-2,5.457467205963249,0.14053195603684068,12.04296875,172,RBL2
731,RBL2_-_53469631.23-P2-1,10.292672959621996,0.26504043162782087,13.1016845703125,120,RBL2
732,RBL2_-_53469631.23-P2-2,8.186788233745444,0.21081306047803797,12.5791015625,112,RBL2
733,RBL2_-_53469656.23-P2-1,12.992092360689922,0.3345515572615875,24.2310791015625,71,RBL2
734,RBL2_-_53469656.23-P2-2,8.54113442311483,0.2199376161055768,13.659912109375,111,RBL2
735,RBL2_-_53469794.23-P2-1,18.62881452163294,0.4796993998446775,9.1026611328125,101,RBL2
736,RBL2_-_53469794.23-P2-2,29.185290470703094,0.7515328636092755,16.7872314453125,86,RBL2
737,non-targeting,134.48985705672385,1.0,0.0,20000,RBPJ
738,RBPJ_-_26322653.23-P1P2-1,65.47602263879895,0.4868472914740559,16.30859375,138,RBPJ
739,RBPJ_-_26322653.23-P1P2-2,50.08717312193767,0.37242342447291304,18.2860107421875,128,RBPJ
740,RBPJ_-_26322682.23-P1P2-1,10.308466324418346,0.07664865254537774,31.76708984375,68,RBPJ
741,RBPJ_-_26322682.23-P1P2-2,14.570995774239492,0.10834271143655001,38.688720703125,39,RBPJ
742,RBPJ_-_26322688.23-P1P2-1,18.322308342037505,0.1362356146628195,21.0194091796875,86,RBPJ
743,RBPJ_-_26322688.23-P1P2-2,141.5122846642939,1.052215295348319,15.3177490234375,130,RBPJ
744,non-targeting,0.02560188659117557,1.0,0.0,20000,RBPJL
745,RBPJL_+_43935557.23-P1P2-1,0.0,0.0,49.1650390625,39,RBPJL
746,RBPJL_-_43935525.23-P1P2-1,0.0,0.0,67.074951171875,34,RBPJL
747,RBPJL_-_43935525.23-P1P2-2,0.0,0.0,24.0274658203125,192,RBPJL
748,RBPJL_-_43935529.23-P1P2-2,0.0,0.0,15.3370361328125,165,RBPJL
749,non-targeting,63.88578388668975,1.0,0.0,20000,RCOR2
750,RCOR2_+_63684573.23-P1P2-1,4.053243665603569,0.06344515820284143,707.5736083984375,74,RCOR2
751,RCOR2_+_63684573.23-P1P2-2,8.91389477057565,0.13952861228697877,458.1722412109375,255,RCOR2
752,RCOR2_-_63684048.23-P1P2-1,19.29841859743612,0.30207688508079555,253.35498046875,79,RCOR2
753,RCOR2_-_63684192.23-P1P2-1,44.95047420884172,0.7036068351069713,63.6356201171875,75,RCOR2
754,RCOR2_-_63684192.23-P1P2-2,102.60805488121892,1.6061171772300462,7.5946044921875,119,RCOR2
755,non-targeting,49.54313265861856,1.0,0.0,20000,RFX7
