,pval_outlier
BMP2_+_6748354.23-P1-1,1.0
BMP2_+_6748412.23-P1-1,1.0
BMP2_+_6748418.23-P1-1,1.0
BMP2_+_6748418.23-P1-2,1.0
BMP2_+_6750780.23-P2-1,1.0
BMP2_+_6750780.23-P2-2,1.0
BMP2_+_6750812.23-P2-1,1.0
BMP2_+_6750812.23-P2-2,1.0
BMP2_-_6750776.23-P2-1,1.0
BMP2_-_6750776.23-P2-2,1.0
BNC1_+_83953391.23-P1P2-1,0.9979
BNC1_-_83953180.23-P1P2-2,0.5
BNC1_-_83953421.23-P1P2-1,0.3192
BNC1_-_83953421.23-P1P2-2,0.9707
BNC2_+_16870401.23-P1P2-1,0.3192
BNC2_+_16870401.23-P1P2-2,0.8266
BNC2_+_16870672.23-P1P2-2,1.0
BNC2_-_16870477.23-P1P2-1,0.9707
BOLA1_+_149858450.23-P1-1,0.5
BOLA1_+_149871133.23-P2-1,0.9964
BOLA1_+_149871133.23-P2-2,0.9854
BOLA1_-_149871144.23-P2-1,0.8209
BOLA1_-_149871144.23-P2-2,1.0
BOLA1_-_149871213.23-P2-1,0.9984
BOLA1_-_149871213.23-P2-2,0.661
BOLA2_-_29465914.23-ENST00000330978.3-1,0.4649
BOLA2_-_29465914.23-ENST00000330978.3-2,0.661
BOLA2_-_29466260.23-ENST00000330978.3-2,1.0
BOLA2_-_29466281.23-ENST00000330978.3-1,1.0
BOLA2_-_29466281.23-ENST00000330978.3-2,1.0
BOLA3_+_74374593.23-P1P2-1,1.0
BOLA3_+_74374593.23-P1P2-2,1.0
BOLA3_+_74374821.23-P1P2-1,1.0
BOLA3_+_74374821.23-P1P2-2,1.0
BOLA3_-_74375058.23-P1P2-1,1.0
BOLA3_-_74375058.23-P1P2-2,1.0
BPTF_+_65821601.23-P1P2-2,0.9948
BPTF_+_65821705.23-P1P2-2,0.7186
BPTF_-_65821667.23-P1P2-1,0.3634
BRF2_+_37707146.23-P1P2-2,1.0
BRF2_-_37707381.23-P1P2-1,1.0
BRF2_-_37707381.23-P1P2-2,1.0
BRPF1_+_9773474.23-P1P2-2,1.0
BRPF1_-_9773923.23-P1P2-1,1.0
BSX_+_122852466.23-P1P2-1,0.5
BSX_+_122852466.23-P1P2-2,0.9979
BSX_-_122852478.23-P1P2-2,0.9999
C11orf95_-_63536209.23-P1P2-2,1.0
C11orf95_-_63536213.23-P1P2-2,1.0
C1orf85_+_156261271.23-P2-1,0.367
C1orf85_+_156261315.23-P2-1,0.4649
C1orf85_+_156261315.23-P2-2,1.0
C1orf85_-_156261219.23-P2-1,1.0
C1orf85_-_156261219.23-P2-2,1.0
C1orf85_+_156265237.23-P1-1,1.0
C1orf85_+_156265237.23-P1-2,1.0
C1orf85_+_156265403.23-P1-2,1.0
C1orf85_-_156265439.23-P1-1,1.0
C1orf85_-_156265439.23-P1-2,1.0
CAMTA1_-_6845580.23-P1P2-1,1.0
CAMTA1_-_6845583.23-P1P2-1,1.0
CAMTA2_+_4890704.23-P1P2-1,1.0
CAMTA2_+_4890889.23-P1P2-1,1.0
CAMTA2_+_4890889.23-P1P2-2,1.0
CAMTA2_-_4890571.23-P1P2-2,1.0
CAPN15_-_577797.23-P1P2-2,1.0
CAPN15_-_577807.23-P1P2-1,1.0
CARHSP1_+_8962830.23-P1P2-1,1.0
CARHSP1_+_8962830.23-P1P2-2,1.0
CARHSP1_+_8962847.23-P1P2-1,1.0
CARHSP1_+_8962847.23-P1P2-2,1.0
CARHSP1_-_8962799.23-P1P2-1,1.0
CARHSP1_-_8962799.23-P1P2-2,1.0
CASZ1_+_10856607.23-ENST00000377022.3-1,1.0
CASZ1_+_10856607.23-ENST00000377022.3-2,1.0
CASZ1_-_10856303.23-ENST00000377022.3-1,1.0
CASZ1_-_10856303.23-ENST00000377022.3-2,1.0
CBFA2T3_+_89043332.23-P2-1,0.9531
CBFA2T3_+_89043332.23-P2-2,0.8792
CBFA2T3_+_89043351.23-P2-1,1.0
CBFA2T3_-_89043343.23-P2-1,1.0
CBL_+_119077047.23-P1P2-1,1.0
CBL_+_119077047.23-P1P2-2,1.0
CBL_+_119077067.23-P1P2-1,1.0
CBX2_+_77751982.23-P1P2-2,1.0
CBX2_+_77752406.23-P1P2-1,1.0
CBX2_+_77752406.23-P1P2-2,1.0
CC2D1A_+_14017077.23-P1P2-1,0.9999
CC2D1A_+_14017077.23-P1P2-2,0.4649
CC2D1A_-_14017093.23-P1P2-2,1.0
CC2D1A_-_14017107.23-P1P2-2,0.9997
CCDC169-SOHLH2_+_36871849.23-P1P2-1,0.9227
CCDC169-SOHLH2_+_36871849.23-P1P2-2,1.0
CCDC169-SOHLH2_+_36871966.23-P1P2-1,0.9531
CCDC169-SOHLH2_-_36871949.23-P1P2-1,0.8792
CCDC169-SOHLH2_-_36871949.23-P1P2-2,1.0
CCDC17_+_46089691.23-P1P2-1,0.5
CCDC17_+_46089691.23-P1P2-2,0.5
CCDC17_-_46089559.23-P1P2-2,0.5
CCDC17_-_46089704.23-P1P2-1,0.9912
CCDC17_-_46089704.23-P1P2-2,0.9996
CCDC79_-_66834918.23-P1P2-1,1.0
CCDC79_-_66834918.23-P1P2-2,1.0
CCDC79_-_66834928.23-P1P2-1,1.0
CCDC79_-_66834928.23-P1P2-2,1.0
CCDC79_-_66834964.23-P1P2-1,1.0
CCDC79_-_66834964.23-P1P2-2,1.0
CCNT2_+_135676100.23-P1P2-1,0.8266
CCNT2_-_135676416.23-P1P2-2,0.8266
CCNT2_-_135676427.23-P1P2-1,0.9214
CCNT2_-_135676427.23-P1P2-2,0.8266
CD151_strong,1.0
CD151_weak,1.0
CD81_strong,1.0
CD81_weak,1.0
CDCA7L_+_21985460.23-P1P2-1,0.5649
CDCA7L_+_21985460.23-P1P2-2,1.0
CDCA7L_+_21985470.23-P1P2-1,1.0
CDCA7L_+_21985470.23-P1P2-2,1.0
CDIP1_+_4588461.23-P1P2-2,0.7186
CDIP1_-_4588384.23-P1P2-1,0.3634
CDIP1_-_4588384.23-P1P2-2,0.3634
CDIP1_-_4588753.23-P1P2-2,0.9948
CDK2_-_56360602.23-P1P2-1,1.0
CDK2_-_56360602.23-P1P2-2,1.0
CDK2_-_56360608.23-P1P2-1,1.0
CDK2_-_56360608.23-P1P2-2,1.0
CDK2_-_56360688.23-P1P2-1,1.0
CDK9_+_130548620.23-P1P2-1,0.3634
CDK9_+_130548739.23-P1P2-2,0.7186
CDK9_-_130548401.23-P1P2-2,0.9366
CDX1_+_149546553.23-P1P2-2,0.3634
CDX1_-_149546360.23-P1P2-1,0.3634
CDX1_-_149546360.23-P1P2-2,0.9366
CDX1_-_149546625.23-P1P2-2,0.9366
CDX2_+_28543276.23-P1P2-1,1.0
CDX2_-_28543392.23-P1P2-2,1.0
CDX2_-_28543416.23-P1P2-1,1.0
CDX4_+_72666921.23-P1P2-1,1.0
CDX4_+_72666921.23-P1P2-2,1.0
CDX4_-_72666910.23-P1P2-1,1.0
CDX4_-_72666910.23-P1P2-2,1.0
CDX4_-_72666965.23-P1P2-1,1.0
CDX4_-_72666965.23-P1P2-2,1.0
CEBPA_+_33793416.23-P1P2-1,1.0
CEBPA_-_33793430.23-P1P2-1,1.0
CEBPA_-_33793430.23-P1P2-2,1.0
CEBPB_+_48807426.23-P1P2-1,1.0
CEBPB_+_48807426.23-P1P2-2,1.0
CEBPD_-_48650494.23-P1P2-1,0.7186
CEBPD_-_48650494.23-P1P2-2,0.9366
CEBPD_-_48650636.23-P1P2-1,0.3634
CEBPE_+_23588207.23-P1P2-2,0.3634
CEBPE_-_23588184.23-P1P2-1,0.9366
CEBPE_-_23588184.23-P1P2-2,0.7186
CEBPG_+_33864675.23-P1P2-1,1.0
CEBPG_-_33864838.23-P1P2-1,1.0
CENPA_+_26987200.23-P1-1,1.0
CENPA_+_26987200.23-P1-2,0.367
CENPA_+_26987565.23-P1-1,1.0
CENPA_+_26987565.23-P1-2,0.5649
CENPA_-_26987175.23-P1-1,0.8792
CENPA_-_26987175.23-P1-2,0.8792
CENPBD1_-_90038481.23-P1P2-1,0.5
CENPBD1_-_90038481.23-P1P2-2,0.6808
CENPBD1_-_90038847.23-P1P2-1,0.5
CENPBD1_-_90038847.23-P1P2-2,1.0
CENPBD1_-_90038885.23-P1P2-1,0.8266
CENPB_+_3766949.23-P1P2-1,1.0
